Customer,State,Customer Lifetime Value,Response,Effective To Date,EmploymentStatus,Income,Location Code,Marital Status,Monthly Premium,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount
BU79786,Washington,2763.519279,No,2/24/11,Employed,56274,Suburban,Married,69,32,5,0,1,Corporate,Corporate L3,Offer1,Agent,384.811147
QZ44356,Arizona,6979.535903,No,1/31/11,Unemployed,0,Suburban,Single,94,13,42,0,8,Personal,Personal L3,Offer3,Agent,1131.464935
AI49188,Nevada,12887.43165,No,2/19/11,Employed,48767,Suburban,Married,108,18,38,0,2,Personal,Personal L3,Offer1,Agent,566.472247
WW63253,California,7645.861827,No,1/20/11,Unemployed,0,Suburban,Married,106,18,65,0,7,Corporate,Corporate L2,Offer1,Call Center,529.881344
HB64268,Washington,2813.692575,No,2/3/11,Employed,43836,Rural,Single,73,12,44,0,1,Personal,Personal L1,Offer1,Agent,138.130879
OC83172,Oregon,8256.2978,Yes,1/25/11,Employed,62902,Rural,Married,69,14,94,0,2,Personal,Personal L3,Offer2,Web,159.383042
XZ87318,Oregon,5380.898636,Yes,2/24/11,Employed,55350,Suburban,Married,67,0,13,0,9,Corporate,Corporate L3,Offer1,Agent,321.6
CF85061,Arizona,7216.100311,No,1/18/11,Unemployed,0,Urban,Single,101,0,68,0,4,Corporate,Corporate L3,Offer1,Agent,363.02968
DY87989,Oregon,24127.50402,Yes,1/26/11,Medical Leave,14072,Suburban,Divorced,71,13,3,0,2,Corporate,Corporate L3,Offer1,Agent,511.2
BQ94931,Oregon,7388.178085,No,2/17/11,Employed,28812,Urban,Married,93,17,7,0,8,Special,Special L2,Offer2,Branch,425.527834
SX51350,California,4738.992022,No,2/21/11,Unemployed,0,Suburban,Single,67,23,5,0,3,Personal,Personal L3,Offer1,Agent,482.4
VQ65197,California,8197.197078,No,1/6/11,Unemployed,0,Suburban,Married,110,27,87,0,3,Personal,Personal L3,Offer2,Agent,528.0
DP39365,California,8798.797003,No,2/6/11,Employed,77026,Urban,Married,110,9,82,2,3,Corporate,Corporate L1,Offer2,Agent,472.029737
SJ95423,Arizona,8819.018934,Yes,1/10/11,Employed,99845,Suburban,Married,110,23,25,1,8,Corporate,Corporate L3,Offer2,Branch,528.0
IL66569,California,5384.431665,No,1/18/11,Employed,83689,Urban,Single,70,21,10,2,8,Corporate,Corporate L3,Offer4,Call Center,307.139132
BW63560,Oregon,7463.139377,No,1/17/11,Employed,24599,Rural,Married,64,12,50,1,2,Corporate,Corporate L2,Offer2,Branch,42.920271
FV94802,Nevada,2566.867823,No,2/6/11,Medical Leave,25049,Suburban,Married,67,14,7,0,1,Personal,Personal L3,Offer2,Call Center,454.245098
OE15005,California,3945.241604,No,1/5/11,Medical Leave,28855,Suburban,Married,101,12,59,0,1,Personal,Personal L2,Offer3,Call Center,647.442031
WC83389,Oregon,5710.333115,No,2/27/11,Employed,51148,Urban,Married,72,9,1,0,7,Personal,Personal L2,Offer2,Branch,308.981664
FL50705,California,8162.617053,No,1/14/11,Employed,66140,Suburban,Married,101,11,21,0,3,Corporate,Corporate L2,Offer1,Call Center,484.8
ZK25313,Oregon,2872.051273,No,2/19/11,Employed,57749,Suburban,Single,74,31,21,0,1,Personal,Personal L2,Offer1,Branch,355.2
SV62436,Washington,3041.791561,No,1/21/11,Disabled,13789,Suburban,Divorced,79,8,49,0,1,Personal,Personal L3,Offer4,Call Center,379.2
YH23384,Arizona,24127.50402,Yes,1/26/11,Medical Leave,14072,Suburban,Divorced,71,13,3,0,2,Personal,Personal L3,Offer1,Agent,511.2
TZ98966,Nevada,2450.190996,No,2/24/11,Unemployed,0,Suburban,Single,73,4,44,3,1,Corporate,Corporate L3,Offer1,Branch,554.376763
HM55802,California,2392.10789,No,2/5/11,Disabled,17870,Suburban,Married,61,30,91,0,1,Corporate,Corporate L2,Offer2,Branch,439.2
FS42516,Oregon,5802.065978,No,1/29/11,Employed,97541,Suburban,Married,72,22,1,0,3,Personal,Personal L3,Offer2,Call Center,389.185006
US89481,California,3946.372085,No,2/28/11,Unemployed,0,Suburban,Single,111,15,47,0,1,Personal,Personal L3,Offer1,Agent,799.2
HO30839,Washington,5346.916576,No,2/12/11,Disabled,10511,Urban,Married,139,33,64,0,1,Corporate,Corporate L1,Offer1,Branch,516.237951
GE62437,Arizona,12902.56014,No,2/2/11,Employed,86584,Suburban,Single,111,33,54,2,2,Personal,Personal L3,Offer1,Call Center,532.8
EJ77678,Oregon,3235.360468,No,2/7/11,Employed,75690,Suburban,Married,80,17,44,1,1,Personal,Personal L3,Offer2,Branch,384.0
SV85652,Arizona,2454.58354,No,2/28/11,Employed,23158,Suburban,Married,63,4,6,1,1,Personal,Personal L2,Offer4,Call Center,322.294043
UL64533,Nevada,18975.45611,No,1/22/11,Employed,65999,Urban,Married,237,1,14,0,6,Corporate,Corporate L2,Offer2,Agent,615.927769
PF41800,California,4715.321344,No,1/25/11,Unemployed,0,Urban,Married,65,19,56,0,3,Personal,Personal L3,Offer1,Call Center,308.15089
AO98601,Washington,5018.885233,No,1/18/11,Employed,54500,Suburban,Married,63,28,17,0,6,Corporate,Corporate L2,Offer1,Agent,302.4
SK67821,Oregon,4932.916345,No,2/13/11,Employed,37260,Rural,Married,62,19,42,0,8,Corporate,Corporate L1,Offer3,Web,15.437681
YV55495,Arizona,5744.229745,No,1/15/11,Employed,68987,Urban,Married,71,11,40,0,6,Personal,Personal L1,Offer1,Branch,204.475147
KY38074,California,13891.73567,No,1/8/11,Employed,42305,Suburban,Married,117,10,62,0,2,Personal,Personal L3,Offer1,Agent,561.6
DM79012,Oregon,7380.976717,No,2/6/11,Employed,65706,Suburban,Married,91,19,86,0,8,Personal,Personal L3,Offer2,Web,436.8
CM61827,Oregon,3090.034104,No,1/25/11,Unemployed,0,Suburban,Single,90,7,79,0,1,Personal,Personal L2,Offer3,Agent,648.0
WC35801,Arizona,2521.633095,No,2/7/11,Employed,53243,Rural,Divorced,66,4,15,2,1,Personal,Personal L3,Offer1,Call Center,157.397849
QG25316,Nevada,2652.061785,No,1/18/11,Unemployed,0,Suburban,Married,70,7,1,1,1,Corporate,Corporate L3,Offer3,Call Center,484.318536
MB98372,Oregon,2771.045031,Yes,1/11/11,Employed,50071,Rural,Single,71,3,32,0,1,Corporate,Corporate L3,Offer2,Agent,18.918935
IL19217,California,3939.00637,Yes,1/28/11,Employed,60021,Suburban,Married,99,12,28,0,1,Personal,Personal L2,Offer2,Agent,882.871945
SR38658,Arizona,12231.87968,No,2/8/11,Employed,43244,Suburban,Married,103,15,16,0,2,Personal,Personal L2,Offer4,Agent,494.4
DH41343,Washington,2443.665166,No,2/23/11,Employed,92834,Suburban,Married,61,15,56,0,1,Special,Special L2,Offer2,Call Center,292.8
HG65722,Oregon,12819.10289,No,1/25/11,Disabled,10105,Rural,Married,172,5,4,3,3,Personal,Personal L2,Offer1,Branch,0.517753
BU27331,Arizona,4468.510542,No,1/31/11,Unemployed,0,Suburban,Single,73,7,57,3,5,Personal,Personal L3,Offer3,Call Center,579.165954
XM45289,Oregon,5514.344018,No,1/2/11,Employed,23218,Suburban,Single,71,7,10,0,4,Personal,Personal L2,Offer4,Agent,447.79344
KP34198,California,3343.875326,No,2/7/11,Unemployed,0,Suburban,Married,92,11,77,0,1,Corporate,Corporate L2,Offer2,Call Center,529.624084
SH90947,Arizona,2294.478927,No,1/18/11,Unemployed,0,Suburban,Married,62,11,56,0,1,Personal,Personal L2,Offer4,Branch,313.023175
WE95729,Oregon,36707.42639,No,1/17/11,Employed,24804,Suburban,Married,104,1,28,0,2,Personal,Personal L2,Offer1,Agent,593.830288
PY51963,California,33473.34946,Yes,1/11/11,Employed,33190,Suburban,Divorced,106,18,95,0,2,Corporate,Corporate L1,Offer1,Web,508.8
RB69909,Nevada,7983.431709,No,2/21/11,Employed,36014,Rural,Married,69,4,40,3,2,Special,Special L1,Offer4,Branch,173.956072
XR95069,Washington,4854.745666,No,2/16/11,Employed,29834,Suburban,Single,64,19,44,0,3,Personal,Personal L3,Offer4,Agent,307.2
FR46645,California,4293.997319,No,1/17/11,Disabled,16701,Suburban,Married,113,20,26,0,1,Personal,Personal L2,Offer1,Branch,831.625979
SY17488,Arizona,7164.395543,No,2/5/11,Employed,46623,Suburban,Divorced,91,1,53,0,3,Corporate,Corporate L3,Offer3,Call Center,436.8
AP67935,California,7619.5158,No,2/13/11,Employed,64749,Urban,Married,64,24,59,0,2,Special,Special L2,Offer2,Branch,302.56519
FS37417,Arizona,3958.002823,No,2/23/11,Unemployed,0,Suburban,Married,101,29,12,0,1,Personal,Personal L2,Offer1,Call Center,484.8
ML29312,Oregon,4499.493252,No,1/28/11,Disabled,16969,Suburban,Divorced,124,34,47,2,1,Personal,Personal L3,Offer1,Call Center,704.768111
UB61619,Oregon,4059.567414,No,2/28/11,Disabled,11621,Suburban,Divorced,108,4,98,0,1,Personal,Personal L1,Offer1,Agent,518.4
CD86811,Arizona,4458.113369,Yes,1/2/11,Retired,17622,Suburban,Divorced,65,1,36,1,3,Personal,Personal L1,Offer1,Agent,312.0
RU83859,California,8110.333139,No,1/22/11,Medical Leave,11489,Suburban,Married,105,4,50,0,6,Personal,Personal L3,Offer1,Call Center,504.0
FG63582,Oregon,3339.764873,No,1/15/11,Unemployed,0,Suburban,Single,94,20,53,0,1,Personal,Personal L3,Offer1,Agent,863.327324
NN71951,California,24261.01777,No,1/27/11,Employed,66525,Rural,Married,100,0,86,0,2,Personal,Personal L3,Offer1,Agent,104.331355
WB37082,Arizona,6613.973653,No,1/23/11,Unemployed,0,Suburban,Single,63,21,28,0,2,Personal,Personal L3,Offer3,Branch,676.391482
SM52139,Washington,2930.693543,No,1/31/11,Employed,33663,Suburban,Married,73,29,71,0,1,Personal,Personal L3,Offer3,Web,350.4
FL82372,Oregon,8672.194272,No,1/26/11,Employed,22547,Suburban,Divorced,112,7,60,0,3,Corporate,Corporate L3,Offer1,Agent,537.6
DP45816,Arizona,11638.66926,No,1/10/11,Employed,61486,Urban,Married,97,5,65,0,2,Personal,Personal L3,Offer4,Branch,465.258644
GW33762,Oregon,6846.150323,Yes,1/27/11,Unemployed,0,Suburban,Divorced,95,13,20,0,5,Personal,Personal L3,Offer1,Call Center,456.0
RZ33670,California,11727.77648,No,1/9/11,Disabled,29879,Suburban,Married,102,17,0,0,2,Personal,Personal L3,Offer3,Web,500.254235
PY70169,Oregon,22643.83478,No,2/24/11,Employed,93011,Rural,Divorced,113,17,12,0,2,Personal,Personal L3,Offer4,Agent,281.451042
MO91628,Oregon,2614.474305,No,2/11/11,Employed,65186,Rural,Married,65,29,27,0,1,Personal,Personal L2,Offer2,Web,5.434505
HW87852,Oregon,2451.752695,No,2/12/11,Medical Leave,26840,Suburban,Married,64,1,47,2,1,Personal,Personal L1,Offer1,Agent,307.2
HB20453,Oregon,6781.270203,No,2/4/11,Unemployed,0,Suburban,Single,104,30,3,1,5,Personal,Personal L3,Offer1,Agent,982.399613
BN87372,Oregon,4974.801539,Yes,1/18/11,Employed,75644,Suburban,Divorced,65,5,68,3,9,Personal,Personal L3,Offer2,Branch,467.803638
YX23800,Oregon,8591.604933,No,2/11/11,Employed,38984,Suburban,Married,73,27,38,0,2,Personal,Personal L3,Offer2,Branch,350.4
DZ87709,Oregon,5592.161392,No,2/1/11,Employed,71811,Rural,Single,71,17,48,0,6,Personal,Personal L1,Offer2,Call Center,29.03416
XW13033,Nevada,8009.472833,No,2/15/11,Employed,20961,Suburban,Married,67,20,33,0,2,Personal,Personal L1,Offer2,Agent,321.6
LN31673,Washington,11318.08982,No,2/6/11,Employed,38923,Rural,Married,99,6,83,2,2,Personal,Personal L3,Offer1,Agent,115.728852
OM82309,California,58166.55351,No,2/27/11,Employed,61321,Rural,Single,186,0,30,1,2,Personal,Personal L3,Offer2,Branch,427.63121
ZU35962,California,8025.229358,No,1/26/11,Unemployed,0,Rural,Single,77,20,26,0,2,Personal,Personal L3,Offer3,Branch,25.807685
VH85817,California,5780.182197,Yes,2/26/11,Employed,51066,Suburban,Single,74,23,0,0,8,Personal,Personal L3,Offer2,Call Center,787.993313
DT85712,California,4118.539113,No,1/27/11,Employed,34378,Suburban,Married,102,12,54,0,1,Personal,Personal L1,Offer3,Branch,489.6
YJ88573,Nevada,2523.07015,No,1/16/11,Employed,43072,Suburban,Married,63,35,15,0,1,Personal,Personal L3,Offer2,Call Center,302.4
SQ19467,Oregon,6554.216396,No,1/27/11,Disabled,25222,Suburban,Single,90,28,69,0,3,Personal,Personal L3,Offer2,Agent,475.623251
HF88410,Washington,7703.397294,No,2/28/11,Employed,36765,Suburban,Married,66,15,32,1,2,Personal,Personal L2,Offer1,Call Center,320.849072
ET79815,California,5926.729379,Yes,1/25/11,Retired,23091,Suburban,Married,96,28,90,5,5,Personal,Personal L1,Offer1,Agent,460.8
QC35222,California,2683.470677,No,1/1/11,Employed,48269,Urban,Married,69,3,79,3,1,Corporate,Corporate L2,Offer3,Web,282.151207
